serial;solution1;solution2;solution3;solution4
0,851585;35,910171;0,258907;0,395324;0,222543
0,843497;35,913089;0,25973;0,403607;0,233167
0,849957;36,238406;0,257899;0,38636;0,224138
0,86586;36,043971;0,257557;0,382385;0,288948
0,861174;35,984044;0,256732;0,39044;0,267209
0,865403;35,870566;0,25591;0,384734;0,241178
0,851289;35,949719;0,259654;0,389956;0,235297
0,845891;36,048058;0,254247;0,384626;0,258055
0,879371;35,966776;0,257751;0,400126;0,221282
0,856961;35,928581;0,258073;0,389702;0,231357
0,851789;;0,254721;0,382195;0,236896
0,866667;;0,258974;0,392643;0,229371
0,884073;;0,257478;0,391852;0,261653
0,885096;;0,257931;0,390257;0,237879
0,863663;;0,261441;0,381096;0,255435
0,876547;;0,268206;0,385723;0,247871
0,861551;;0,259107;0,399555;0,241479
0,862219;;0,261012;0,388274;0,221646
0,869727;;0,260421;0,387538;0,240694
0,866549;;0,251195;0,385075;0,230552
0,861949;;0,253492;0,38675;0,227102
0,875777;;0,25799;0,39534;0,239983
0,855032;;0,253822;0,386195;0,244656
0,855776;;0,257368;0,383704;0,23598
0,855999;;0,258439;0,384802;0,225843
0,848467;;0,260285;0,392804;0,238829
0,858846;;0,254367;0,401837;0,224398
0,851374;;0,254663;0,390609;0,221798
0,84873;;0,259948;0,395104;0,220382
0,870073;;0,260525;0,389318;0,23562
0,855837;;0,262031;0,38377;0,248868
0,851491;;0,25817;0,398966;0,247355
0,849929;;0,256537;0,38613;0,226441
0,851999;;0,260616;0,388002;0,230832
0,844195;;0,259229;0,381562;0,229717
0,844836;;0,265084;0,379614;0,218948
0,847176;;0,256831;0,399937;0,222063
0,853529;;0,260735;0,401352;0,230094
0,862605;;0,256108;0,384332;0,232053
0,860974;;0,255913;0,38446;0,221492
0,850033;;0,261142;0,386519;0,243292
0,858252;;0,255383;0,39615;0,222916
0,856831;;0,253247;0,389315;0,223292
0,846348;;0,251187;0,384701;0,220991
0,853722;;0,25657;0,396024;0,219136
0,849588;;0,257714;0,385557;0,221511
0,915251;;0,253486;0,400609;0,222356
0,851216;;0,252116;0,384409;0,223619
0,844401;;0,265679;0,392652;0,22684
0,850713;;0,250481;0,384303;0,22139
0,849775;;0,257981;0,388268;0,242513
0,86964;;0,25387;0,398725;0,255645
0,857458;;0,254314;0,399115;0,238543
0,846963;;0,260169;0,387622;0,230178
0,839361;;0,257069;0,388828;0,232014
0,842175;;0,26368;0,389161;0,254175
0,863971;;0,254865;0,398064;0,250694
0,853744;;0,257929;0,387204;0,242449
0,849155;;0,255153;0,38713;0,239444
0,864134;;0,259311;0,389797;0,225914
0,85507;;0,255708;0,38345;0,229843
0,856662;;0,256165;0,400504;0,220886
0,8497;;0,253941;0,395345;0,22071
0,854058;;0,257046;0,392136;0,221029
0,851177;;0,257951;0,392287;0,228589
0,855713;;0,250582;0,386991;0,219794
0,851527;;0,256266;0,399133;0,219548
0,848294;;0,25864;0,37972;0,220959
0,848155;;0,25645;0,388726;0,215597
0,850265;;0,25444;0,387269;0,226392
0,857512;;0,266213;0,387851;0,217539
0,849277;;0,257062;0,39905;0,220531
0,842823;;0,260067;0,391073;0,226624
0,844514;;0,265213;0,390559;0,220201
0,847853;;0,258403;0,395248;0,219842
0,855757;;0,259596;0,387505;0,220786
0,861103;;0,256394;0,401348;0,22081
0,8462;;0,261757;0,383443;0,222145
0,8599;;0,290681;0,384429;0,219156
0,860554;;0,260131;0,385453;0,222321
0,84852;;0,253733;0,384215;0,220978
0,856202;;0,253675;0,408463;0,229269
0,845102;;0,257428;0,392363;0,22344
0,855249;;0,253996;0,385833;0,219683
0,842586;;0,257699;0,387028;0,2222
0,84972;;0,257443;0,381286;0,223751
0,863636;;0,257918;0,403868;0,219752
0,852029;;0,256318;0,382126;0,21869
0,853975;;0,254504;0,387979;0,217826
0,846864;;0,257883;0,392632;0,220569
0,847812;;0,259793;0,383368;0,222158
0,848668;;0,259551;0,395414;0,217597
0,853893;;0,268099;0,376354;0,219202
0,864174;;0,263664;0,382984;0,218779
0,855385;;0,254643;0,392344;0,221556
0,846833;;0,262038;0,378443;0,216441
0,846074;;0,25936;0,399721;0,217309
0,848781;;0,255499;0,38121;0,240645
0,843061;;0,258374;0,413357;0,227622
0,848842;;0,262713;0,383977;0,219846
